ID	Gene	GDM category	HGNC_ID	NCBI_ID	MIMNumber		
18223	ACADL	blue	HGNC:88	33	609576		
18300	ACADM	red	HGNC:89	34	607008		
18379	ACADS	red	HGNC:90	35	606885		
18459	ACADSB	red	HGNC:91	36	600301		
18531	ACADVL	red	HGNC:92	37	609575		
13735	ACAN	red	HGNC:319	176	155760		
4490	ACAP1	blue	HGNC:16467	9744	607763		
4492	ACAP2	blue	HGNC:16469	23527	607766		
4655	ACAP3	blue	HGNC:16754	116983			
18618	ACAT1	red	HGNC:93	38	607809		
18706	ACAT2	blue	HGNC:94	39	100678		
3451	ACBD3	blue	HGNC:15453	64746	606809		
8335	ACBD4	blue	HGNC:23337	79777			
8336	ACBD5	grey-blue	HGNC:23338	91452	616618		
8337	ACBD6	grey-blue	HGNC:23339	84320	616352		
5063	ACBD7	blue	HGNC:17715	414149			
8699	ACCS	blue	HGNC:23989	84680	608405		
14459	ACCSL	blue	HGNC:34391	390110			
9719	ACD	grey-red	HGNC:25070	65057	609377		
11284	ACE	red	HGNC:2707	1636	106180		
2302	ACE2	blue	HGNC:13557	59272	300335		
5573	ACER1	blue	HGNC:18356	125981	613491		
8560	ACER2	blue	HGNC:23675	340485	613492		
4206	ACER3	grey-red	HGNC:16066	55331	617036		
469	ACHE	blue	HGNC:108	43	100740		
3689	ACIN1	blue	HGNC:17066	22985	604562		
15083	ACKR1	blue	HGNC:4035	2532	613665		
3895	ACKR2	blue	HGNC:1565	1238	602648		
8570	ACKR3	blue	HGNC:23692	57007	610376		
4243	ACKR4	blue	HGNC:1611	51554	606065		
1349	ACLY	blue	HGNC:115	47	108728		
6225	ACMSD	blue	HGNC:19288	130013	608889		
1489	ACO1	blue	HGNC:117	48	100880		
1572	ACO2	red	HGNC:118	50	100850		
14358	ACOD1	blue	HGNC:33904	730249	615275		
14055	ACOT1	blue	HGNC:33128	641371	614313		
5419	ACOT11	blue	HGNC:18156	26027	606803		
9015	ACOT12	blue	HGNC:24436	134526	614315		
7257	ACOT13	blue	HGNC:20999	55856	615652		
5626	ACOT2	blue	HGNC:18431	10965	609972		
6450	ACOT4	blue	HGNC:19748	122970	614314		
14065	ACOT6	blue	HGNC:33159	641372	614267		
8828	ACOT7	blue	HGNC:24157	11332	602587		
4077	ACOT8	blue	HGNC:15919	10005	608123		
3756	ACOT9	blue	HGNC:17152	23597	300862		
1663	ACOX1	red	HGNC:119	51	609751		
